date,close
2020-12-10,559.67852783
2020-12-11,545.79736328
2020-12-12,568.56732178
2020-12-13,589.66320801
2020-12-14,586.01116943
2020-12-15,589.35559082
2020-12-16,636.18182373
2020-12-17,642.86895752
2020-12-18,654.81195068
2020-12-19,659.29791260
2020-12-20,638.29083252
2020-12-21,609.81787109
2020-12-22,634.85418701
2020-12-23,583.71459961
2020-12-24,611.60717773
2020-12-25,626.41070557
2020-12-26,635.83581543
2020-12-27,682.64233398
2020-12-28,730.39733887
2020-12-29,731.52014160
2020-12-30,751.61895752
2020-12-31,737.80340576
2021-01-01,730.36755371
2021-01-02,774.53497314
2021-01-03,975.50769043
2021-01-04,1040.23303223
2021-01-05,1100.00610352
2021-01-06,1207.11218262
2021-01-07,1225.67810059
2021-01-08,1224.19714355
2021-01-09,1281.07727051
2021-01-10,1262.24670410
2021-01-11,1090.14538574
2021-01-12,1043.43457031
2021-01-13,1130.73937988
2021-01-14,1218.45300293
2021-01-15,1171.83459473
2021-01-16,1233.53759766
2021-01-17,1230.17224121
2021-01-18,1257.27954102
2021-01-19,1377.29589844
2021-01-20,1382.27404785
2021-01-21,1121.57092285
2021-01-22,1236.51220703
2021-01-23,1230.99060059
2021-01-24,1391.60937500
2021-01-25,1324.41479492
2021-01-26,1357.05810547
2021-01-27,1253.18713379
2021-01-28,1332.49218750
2021-01-29,1382.52282715
2021-01-30,1376.11547852
2021-01-31,1314.98620605
2021-02-01,1369.04052734
2021-02-02,1515.19372559
2021-02-03,1660.90954590
2021-02-04,1594.76269531
2021-02-05,1718.65087891
2021-02-06,1677.84680176
2021-02-07,1614.22778320
2021-02-08,1746.61682129
2021-02-09,1768.03503418
2021-02-10,1744.24340820
2021-02-11,1783.79797363
2021-02-12,1843.53259277
2021-02-13,1814.10986328
2021-02-14,1805.08410645
2021-02-15,1779.79101562
2021-02-16,1781.06750488
2021-02-17,1848.45825195
2021-02-18,1937.44921875
2021-02-19,1960.16479492
2021-02-20,1919.53405762
2021-02-21,1935.60107422
2021-02-22,1781.99291992
2021-02-23,1570.20397949
2021-02-24,1626.57568359
2021-02-25,1475.70373535
2021-02-26,1446.03369141
2021-02-27,1459.97314453
2021-02-28,1416.04895020
2021-03-01,1564.70764160
2021-03-02,1492.60876465
2021-03-03,1575.85314941
2021-03-04,1541.91430664
2021-03-05,1533.27502441
2021-03-06,1654.74157715
2021-03-07,1723.15380859
2021-03-08,1834.72790527
2021-03-09,1868.04882812
2021-03-10,1799.16625977
2021-03-11,1826.19494629
2021-03-12,1772.10241699
2021-03-13,1924.68542480
2021-03-14,1854.56433105
2021-03-15,1791.70227051
2021-03-16,1806.97180176
2021-03-17,1823.44934082
2021-03-18,1782.85510254
2021-03-19,1817.62414551
2021-03-20,1812.63464355
2021-03-21,1788.21704102
2021-03-22,1691.33398438
2021-03-23,1678.65014648
2021-03-24,1593.41345215
2021-03-25,1595.35925293
2021-03-26,1702.84204102
2021-03-27,1716.49462891
2021-03-28,1691.35595703
2021-03-29,1819.68493652
2021-03-30,1846.03369141
2021-03-31,1918.36206055
2021-04-01,1977.27685547
2021-04-02,2143.22558594
2021-04-03,2028.42248535
2021-04-04,2093.12280273
2021-04-05,2107.88720703
2021-04-06,2118.37890625
2021-04-07,1971.07727051
2021-04-08,2088.57373047
2021-04-09,2072.10888672
2021-04-10,2135.94213867
2021-04-11,2157.65698242
2021-04-12,2139.35327148
2021-04-13,2299.18774414
2021-04-14,2435.10498047
2021-04-15,2519.11621094
2021-04-16,2431.94653320
2021-04-17,2344.89501953
2021-04-18,2237.13696289
2021-04-19,2166.18872070
2021-04-20,2330.21093750
2021-04-21,2364.75170898
2021-04-22,2403.53515625
2021-04-23,2363.58618164
2021-04-24,2211.62573242
2021-04-25,2316.05957031
2021-04-26,2534.48168945
2021-04-27,2662.86523438
2021-04-28,2746.38012695
2021-04-29,2756.87695312
2021-04-30,2773.20703125
2021-05-01,2945.89282227
2021-05-02,2952.05615234
2021-05-03,3431.08618164
2021-05-04,3253.62939453
2021-05-05,3522.78320312
2021-05-06,3490.88037109
2021-05-07,3484.72900391
2021-05-08,3902.64770508
2021-05-09,3928.84472656
2021-05-10,3952.29394531
2021-05-11,4168.70117188
2021-05-12,3785.84863281
2021-05-13,3715.14843750
2021-05-14,4079.05737305
2021-05-15,3638.12207031
2021-05-16,3587.50610352
2021-05-17,3282.39770508
2021-05-18,3380.07006836
2021-05-19,2460.67919922
2021-05-20,2784.29418945
2021-05-21,2430.62133789
2021-05-22,2295.70556641
2021-05-23,2109.57983398
2021-05-24,2643.59106445
2021-05-25,2706.62890625
2021-05-26,2888.69873047
2021-05-27,2736.48852539
2021-05-28,2419.90625000
2021-05-29,2279.51416016
2021-05-30,2390.30541992
2021-05-31,2714.94531250
2021-06-01,2633.51831055
2021-06-02,2706.12500000
2021-06-03,2855.12646484
2021-06-04,2688.19506836
2021-06-05,2630.57690430
2021-06-06,2715.09277344
2021-06-07,2590.26318359
2021-06-08,2517.43872070
2021-06-09,2608.26708984
2021-06-10,2471.51855469
2021-06-11,2353.76879883
2021-06-12,2372.48437500
2021-06-13,2508.39160156
2021-06-14,2537.89111328
2021-06-15,2610.93676758
2021-06-16,2367.66357422
2021-06-17,2372.00195312
2021-06-18,2231.73315430
2021-06-19,2178.49902344
2021-06-20,2246.36450195
2021-06-21,1888.44750977
2021-06-22,1874.95007324
2021-06-23,1989.73632812
2021-06-24,1988.45629883
2021-06-25,1813.21728516
2021-06-26,1829.23925781
2021-06-27,1978.89465332
2021-06-28,2079.65747070
2021-06-29,2160.76831055
2021-06-30,2274.54760742
2021-07-01,2113.60546875
2021-07-02,2150.04028320
2021-07-03,2226.11425781
2021-07-04,2321.72412109
2021-07-05,2198.58251953
2021-07-06,2324.67944336
2021-07-07,2315.16186523
2021-07-08,2120.02636719
2021-07-09,2146.69238281
2021-07-10,2111.40356445
2021-07-11,2139.66479492
2021-07-12,2036.72106934
2021-07-13,1940.08398438
2021-07-14,1994.33129883
2021-07-15,1911.17565918
2021-07-16,1880.38293457
2021-07-17,1898.82519531
2021-07-18,1895.55212402
2021-07-19,1817.29663086
2021-07-20,1787.51074219
2021-07-21,1990.97082520
2021-07-22,2025.20275879
2021-07-23,2124.77661133
2021-07-24,2189.21875000
2021-07-25,2191.37377930
2021-07-26,2233.36669922
2021-07-27,2298.33349609
2021-07-28,2296.54541016
2021-07-29,2380.95678711
2021-07-30,2466.96142578
2021-07-31,2536.20996094
2021-08-01,2561.85205078
2021-08-02,2610.15332031
2021-08-03,2502.34960938
2021-08-04,2724.61987305
2021-08-05,2827.32885742
2021-08-06,2890.94165039
2021-08-07,3157.23876953
2021-08-08,3013.73266602
2021-08-09,3167.85620117
2021-08-10,3141.69116211
2021-08-11,3164.24511719
2021-08-12,3043.41430664
2021-08-13,3322.21166992
2021-08-14,3265.44335938
2021-08-15,3310.50415039
2021-08-16,3156.50952148
2021-08-17,3014.84594727
2021-08-18,3020.08984375
2021-08-19,3182.70214844
2021-08-20,3286.93530273
2021-08-21,3226.08398438
2021-08-22,3242.11547852
2021-08-23,3319.25732422
2021-08-24,3172.45629883
2021-08-25,3224.91528320
2021-08-26,3100.32543945
2021-08-27,3270.60083008
2021-08-28,3244.40332031
2021-08-29,3227.00268555
2021-08-30,3224.37426758
2021-08-31,3433.73266602
2021-09-01,3834.82812500
2021-09-02,3790.98999023
2021-09-03,3940.61474609
2021-09-04,3887.82836914
2021-09-05,3952.13354492
2021-09-06,3928.37939453
2021-09-07,3426.39428711
2021-09-08,3497.31518555
2021-09-09,3427.34008789
2021-09-10,3211.50585938
2021-09-11,3270.27807617
2021-09-12,3410.13452148
2021-09-13,3285.51171875
2021-09-14,3429.16967773
2021-09-15,3615.28271484
2021-09-16,3571.29492188
2021-09-17,3398.53881836
2021-09-18,3432.01831055
2021-09-19,3329.44799805
2021-09-20,2958.99340820
2021-09-21,2764.43115234
2021-09-22,3077.86791992
2021-09-23,3155.52368164
2021-09-24,2931.66918945
2021-09-25,2925.56567383
2021-09-26,3062.26538086
2021-09-27,2934.13891602
2021-09-28,2807.29663086
2021-09-29,2853.14331055
2021-09-30,3001.67895508
2021-10-01,3307.51611328
2021-10-02,3391.69433594
2021-10-03,3418.35864258
2021-10-04,3380.08911133
2021-10-05,3518.51855469
2021-10-06,3580.56201172
2021-10-07,3587.97485352
2021-10-08,3563.75927734
2021-10-09,3575.71679688
2021-10-10,3425.85278320
2021-10-11,3545.35400391
2021-10-12,3492.57324219
2021-10-13,3606.20166016
2021-10-14,3786.01416016
2021-10-15,3862.63476562
2021-10-16,3830.38208008
2021-10-17,3847.10449219
2021-10-18,3748.76025391
2021-10-19,3877.65087891
2021-10-20,4155.99218750
2021-10-21,4054.32275391
2021-10-22,3970.18188477
2021-10-23,4171.66357422
2021-10-24,4087.90307617
2021-10-25,4217.87695312
2021-10-26,4131.10205078
2021-10-27,3930.25732422
2021-10-28,4287.31884766
2021-10-29,4414.74658203
2021-10-30,4325.65039062
2021-10-31,4288.07421875
2021-11-01,4324.62695312
2021-11-02,4584.79882812
2021-11-03,4607.19384766
2021-11-04,4537.32421875
2021-11-05,4486.24316406
2021-11-06,4521.58105469
2021-11-07,4620.55468750
2021-11-08,4812.08740234
2021-11-09,4735.06884766
2021-11-10,4636.17431641
2021-11-11,4730.38427734
2021-11-12,4667.11523438
2021-11-13,4651.46044922
2021-11-14,4626.35888672
2021-11-15,4557.50390625
2021-11-16,4216.36523438
2021-11-17,4287.59375000
2021-11-18,4000.65087891
2021-11-19,4298.30664062
2021-11-20,4409.93115234
2021-11-21,4269.73291016
2021-11-22,4088.45776367
2021-11-23,4340.76367188
2021-11-24,4239.98144531
2021-11-25,4274.74316406
2021-11-26,4030.90893555
2021-11-27,4096.91210938
2021-11-28,4294.45361328
2021-11-29,4445.10498047
2021-11-30,4631.47900391
2021-12-01,4586.99023438
2021-12-02,4511.30224609
2021-12-03,4220.70605469
2021-12-04,4119.58740234
2021-12-05,4198.32275391
2021-12-06,4358.73730469
2021-12-07,4315.06152344
2021-12-08,4439.35791016
2021-12-09,4119.81591797
2021-12-10,3908.49609375
2021-12-11,4084.45239258
2021-12-12,4134.45312500
2021-12-13,3784.22680664
2021-12-14,3745.44042969
2021-12-15,4018.38867188
2021-12-16,3962.46972656
2021-12-17,3879.48657227
2021-12-18,3960.86010742
2021-12-19,3922.59252930
2021-12-20,3933.84448242
2021-12-21,4020.26000977
2021-12-22,3982.09960938
2021-12-23,4108.01562500
2021-12-24,4047.98291016
2021-12-25,4093.28100586
2021-12-26,4067.32812500
2021-12-27,4037.54760742
2021-12-28,3800.89306641
2021-12-29,3628.53173828
2021-12-30,3713.85205078
2021-12-31,3682.63281250
2022-01-01,3769.69702148
2022-01-02,3829.56494141
2022-01-03,3761.38037109
2022-01-04,3794.05664062
2022-01-05,3550.38696289
2022-01-06,3418.40820312
2022-01-07,3193.21044922
2022-01-08,3091.97265625
2022-01-09,3157.75146484
2022-01-10,3083.09790039
2022-01-11,3238.11157227
2022-01-12,3372.25830078
2022-01-13,3248.28857422
2022-01-14,3310.00146484
2022-01-15,3330.53076172
2022-01-16,3350.92187500
2022-01-17,3212.30493164
2022-01-18,3164.02514648
2022-01-19,3095.82592773
2022-01-20,3001.12011719
2022-01-21,2557.93164062
2022-01-22,2405.18115234
2022-01-23,2535.03906250
2022-01-24,2440.35229492
2022-01-25,2455.93505859
2022-01-26,2468.03027344
2022-01-27,2423.00122070
2022-01-28,2547.09204102
2022-01-29,2597.08471680
2022-01-30,2603.46655273
2022-01-31,2688.27880859
2022-02-01,2792.11718750
2022-02-02,2682.85400391
2022-02-03,2679.16259766
2022-02-04,2983.58691406
2022-02-05,3014.64819336
2022-02-06,3057.47607422
2022-02-07,3142.47070312
2022-02-08,3122.60864258
2022-02-09,3239.45703125
2022-02-10,3077.48217773
2022-02-11,2927.38354492
2022-02-12,2917.36279297
2022-02-13,2883.46337891
2022-02-14,2933.47900391
2022-02-15,3179.87719727
2022-02-16,3127.83007812
2022-02-17,2881.48193359
2022-02-18,2785.72753906
2022-02-19,2763.70117188
2022-02-20,2628.64843750
2022-02-21,2573.81616211
2022-02-22,2639.29931641
2022-02-23,2590.35961914
2022-02-24,2598.06713867
2022-02-25,2764.53564453
2022-02-26,2781.11181641
2022-02-27,2621.80175781
2022-02-28,2919.20117188
2022-03-01,2972.48510742
2022-03-02,2950.11840820
2022-03-03,2834.46899414
2022-03-04,2617.15600586
2022-03-05,2664.83105469
2022-03-06,2555.03735352
2022-03-07,2497.77124023
2022-03-08,2576.74755859
2022-03-09,2729.78344727
2022-03-10,2608.04858398
2022-03-11,2559.56298828
2022-03-12,2574.75415039
2022-03-13,2518.94458008
2022-03-14,2590.69604492
2022-03-15,2620.14965820
2022-03-16,2772.05566406
2022-03-17,2814.85449219
2022-03-18,2945.34301758
2022-03-19,2946.25708008
2022-03-20,2860.45922852
2022-03-21,2897.97656250
2022-03-22,2973.13110352
2022-03-23,3031.06713867
2022-03-24,3108.06201172
2022-03-25,3106.67138672
2022-03-26,3143.17895508
2022-03-27,3291.57763672
2022-03-28,3336.63452148
2022-03-29,3401.98779297
2022-03-30,3385.15795898
2022-03-31,3281.64282227
2022-04-01,3449.55224609
2022-04-02,3445.05932617
2022-04-03,3522.83349609
2022-04-04,3521.24121094
2022-04-05,3411.79248047
2022-04-06,3171.69189453
2022-04-07,3233.27465820
2022-04-08,3192.07397461
2022-04-09,3261.91625977
2022-04-10,3211.86694336
2022-04-11,2981.05224609
2022-04-12,3030.37646484
2022-04-13,3118.34423828
2022-04-14,3019.90942383
2022-04-15,3040.91650391
2022-04-16,3062.31030273
2022-04-17,2993.40332031
2022-04-18,3057.60668945
2022-04-19,3104.10644531
2022-04-20,3077.74584961
2022-04-21,2987.48071289
2022-04-22,2964.83569336
2022-04-23,2938.11401367
2022-04-24,2922.73266602
2022-04-25,3009.39355469
2022-04-26,2808.29833984
2022-04-27,2888.92968750
2022-04-28,2936.94091797
2022-04-29,2815.60180664
2022-04-30,2730.18676758
2022-05-01,2827.75610352
2022-05-02,2857.41040039
2022-05-03,2783.47631836
2022-05-04,2940.64477539
2022-05-05,2749.21313477
2022-05-06,2694.97973633
2022-05-07,2636.09301758
2022-05-08,2517.45996094
2022-05-09,2245.43041992
2022-05-10,2343.51098633
2022-05-11,2072.10864258
2022-05-12,1961.70153809
2022-05-13,2014.41821289
2022-05-14,2056.27392578
2022-05-15,2145.70678711
2022-05-16,2022.72595215
2022-05-17,2090.40917969
2022-05-18,1916.65612793
2022-05-19,2018.33618164
2022-05-20,1961.31567383
2022-05-21,1974.51831055
2022-05-22,2043.17016602
2022-05-23,1972.18188477
2022-05-24,1978.98278809
2022-05-25,1944.82788086
2022-05-26,1803.91333008
2022-05-27,1724.92285156
2022-05-28,1757.94177246
2022-05-29,1812.03100586
2022-05-30,1996.44128418
2022-05-31,1942.32800293
2022-06-01,1823.56933594
2022-06-02,1834.15051270
2022-06-03,1775.07861328
2022-06-04,1801.60949707
2022-06-05,1805.20495605
2022-06-06,1859.28967285
2022-06-07,1814.04833984
2022-06-08,1793.57226562
2022-06-09,1789.82604980
2022-06-10,1665.04223633
2022-06-11,1529.66345215
2022-06-12,1445.21655273
2022-06-13,1204.58276367
2022-06-14,1211.66284180
2022-06-15,1233.20642090
2022-06-16,1067.73071289
2022-06-17,1086.51928711
2022-06-18,993.63677979
2022-06-19,1127.65649414
2022-06-20,1127.64245605
2022-06-21,1124.82458496
2022-06-22,1051.42187500
2022-06-23,1143.38671875
2022-06-24,1226.84472656
2022-06-25,1243.44689941
2022-06-26,1199.83166504
2022-06-27,1193.68066406
2022-06-28,1144.57922363
2022-06-29,1098.94384766
2022-06-30,1067.29882812
2022-07-01,1059.76733398
2022-07-02,1066.51281738
2022-07-03,1073.76696777
2022-07-04,1151.05908203
2022-07-05,1134.54101562
2022-07-06,1186.97399902
2022-07-07,1237.59338379
2022-07-08,1222.50622559
2022-07-09,1216.97827148
2022-07-10,1168.40161133
2022-07-11,1097.23657227
2022-07-12,1038.19165039
2022-07-13,1113.58715820
2022-07-14,1191.52624512
2022-07-15,1233.12915039
2022-07-16,1352.62646484
2022-07-17,1338.63574219
2022-07-18,1578.71789551
2022-07-19,1542.97521973
2022-07-20,1520.20068359
2022-07-21,1576.74951172
2022-07-22,1537.40515137
2022-07-23,1549.29748535
2022-07-24,1599.47668457
2022-07-25,1445.38342285
2022-07-26,1441.80676270
2022-07-27,1636.23266602
2022-07-28,1725.46813965
2022-07-29,1727.40698242
2022-07-30,1695.96948242
2022-07-31,1681.51733398
2022-08-01,1635.19580078
2022-08-02,1632.94543457
2022-08-03,1618.87451172
2022-08-04,1608.20581055
2022-08-05,1732.25463867
2022-08-06,1691.65808105
2022-08-07,1699.35083008
2022-08-08,1775.51611328
2022-08-09,1703.02502441
2022-08-10,1851.74267578
2022-08-11,1881.22412109
2022-08-12,1957.24645996
2022-08-13,1981.33654785
2022-08-14,1936.80200195
2022-08-15,1904.22814941
2022-08-16,1878.13940430
2022-08-17,1832.99963379
2022-08-18,1847.00781250
2022-08-19,1612.98730469
2022-08-20,1577.00378418
2022-08-21,1619.31896973
2022-08-22,1622.50585938
2022-08-23,1662.76989746
2022-08-24,1657.05920410
2022-08-25,1696.45703125
2022-08-26,1507.78283691
2022-08-27,1491.39501953
2022-08-28,1430.54736328
2022-08-29,1553.03735352
2022-08-30,1523.83886719
2022-08-31,1553.68493652
2022-09-01,1586.17675781
2022-09-02,1577.22045898
2022-09-03,1556.87268066
2022-09-04,1577.64160156
2022-09-05,1617.18322754
2022-09-06,1561.74853516
2022-09-07,1629.90637207
2022-09-08,1635.34765625
2022-09-09,1719.08544922
2022-09-10,1776.20373535
2022-09-11,1761.80004883
2022-09-12,1713.76525879
2022-09-13,1580.78796387
2022-09-14,1634.75500488
2022-09-15,1471.69348145
2022-09-16,1432.44775391
2022-09-17,1469.74169922
2022-09-18,1335.32910156
2022-09-19,1377.54138184
2022-09-20,1324.38818359
2022-09-21,1252.60778809
2022-09-22,1327.68017578
2022-09-23,1328.25952148
2022-09-24,1317.99328613
2022-09-25,1294.21679688
2022-09-26,1335.32019043
2022-09-27,1330.12768555
2022-09-28,1337.41088867
2022-09-29,1335.65234375
2022-09-30,1327.97863770
2022-10-01,1311.64440918
2022-10-02,1276.09350586
2022-10-03,1323.43920898
2022-10-04,1362.12658691
2022-10-05,1352.83715820
2022-10-06,1351.70947266
2022-10-07,1332.51696777
2022-10-08,1315.50048828
2022-10-09,1322.60424805
2022-10-10,1291.33764648
2022-10-11,1279.57568359
2022-10-12,1294.90637207
2022-10-13,1288.12390137
2022-10-14,1297.42211914
2022-10-15,1274.87170410
2022-10-16,1306.29663086
2022-10-17,1331.71362305
2022-10-18,1310.44702148
2022-10-19,1285.74426270
2022-10-20,1283.20092773
2022-10-21,1299.94641113
2022-10-22,1314.29919434
2022-10-23,1363.44702148
2022-10-24,1344.99853516
2022-10-25,1461.66540527
2022-10-26,1566.56665039
2022-10-27,1514.37487793
2022-10-28,1555.47790527
2022-10-29,1619.69848633
2022-10-30,1590.78332520
2022-10-31,1572.71447754
2022-11-01,1579.70458984
2022-11-02,1519.71179199
2022-11-03,1531.54174805
2022-11-04,1645.09338379
2022-11-05,1627.96801758
2022-11-06,1572.23474121
2022-11-07,1568.59130859
2022-11-08,1332.83557129
2022-11-09,1100.16979980
2022-11-10,1299.46459961
2022-11-11,1287.22106934
2022-11-12,1255.26831055
2022-11-13,1221.81921387
2022-11-14,1241.60424805
2022-11-15,1251.73620605
2022-11-16,1215.60253906
2022-11-17,1200.80859375
2022-11-18,1212.30029297
2022-11-19,1218.42675781
2022-11-20,1142.46667480
2022-11-21,1108.35302734
2022-11-22,1135.17346191
2022-11-23,1183.19958496
2022-11-24,1203.98315430
2022-11-25,1198.92590332
2022-11-26,1205.89794922
2022-11-27,1195.12695312
2022-11-28,1170.08618164
2022-11-29,1216.90124512
2022-11-30,1295.68859863
2022-12-01,1276.27392578
2022-12-02,1294.30334473
2022-12-03,1243.33483887
2022-12-04,1280.25659180
2022-12-05,1259.67675781
2022-12-06,1271.65380859
2022-12-07,1232.43750000
2022-12-08,1281.11633301
2022-12-09,1264.28479004
2022-12-10,1266.38415527
2022-12-11,1263.86853027
2022-12-12,1274.61901855
2022-12-13,1320.54919434
2022-12-14,1309.32873535
2022-12-15,1266.35388184
2022-12-16,1168.25939941
2022-12-17,1188.14953613
2022-12-18,1184.71520996
2022-12-19,1167.60986328
2022-12-20,1217.70361328
2022-12-21,1213.59997559
2022-12-22,1218.18212891
2022-12-23,1220.15942383
2022-12-24,1221.14855957
2022-12-25,1218.96203613
2022-12-26,1226.97436523
2022-12-27,1212.79162598
2022-12-28,1189.98608398
2022-12-29,1201.59533691
2022-12-30,1199.23278809
2022-12-31,1196.77124023
2023-01-01,1200.96484375
2023-01-02,1214.65661621
2023-01-03,1214.77880859
2023-01-04,1256.52661133
2023-01-05,1250.43859863
2023-01-06,1269.37902832
2023-01-07,1264.27038574
2023-01-08,1287.35949707
2023-01-09,1321.53894043
2023-01-10,1336.58605957
2023-01-11,1387.93273926
2023-01-12,1417.93847656
2023-01-13,1451.61486816
2023-01-14,1550.70690918
2023-01-15,1552.47949219
2023-01-16,1576.83349609
2023-01-17,1567.84606934
2023-01-18,1515.50695801
2023-01-19,1552.55651855
2023-01-20,1659.75415039
2023-01-21,1627.11816406
2023-01-22,1628.38208008
2023-01-23,1628.25109863
2023-01-24,1556.60424805
2023-01-25,1611.71105957
2023-01-26,1603.10595703
2023-01-27,1598.15649414
2023-01-28,1572.43505859
2023-01-29,1646.15563965
2023-01-30,1567.32653809
2023-01-31,1586.53540039
2023-02-01,1641.79272461
2023-02-02,1643.24157715
2023-02-03,1664.74560547
2023-02-04,1667.05920410
2023-02-05,1631.64587402
2023-02-06,1616.24707031
2023-02-07,1672.00354004
2023-02-08,1650.71679688
2023-02-09,1546.43823242
2023-02-10,1514.86914062
2023-02-11,1539.92675781
2023-02-12,1515.03369141
2023-02-13,1507.16589355
2023-02-14,1556.87512207
2023-02-15,1673.74597168
2023-02-16,1640.06762695
2023-02-17,1694.78332520
2023-02-18,1691.81945801
2023-02-19,1681.43615723
2023-02-20,1702.67517090
2023-02-21,1658.03637695
2023-02-22,1643.23168945
2023-02-23,1651.07385254
2023-02-24,1608.37316895
2023-02-25,1594.91491699
2023-02-26,1640.81713867
2023-02-27,1634.32641602
2023-02-28,1605.89514160
2023-03-01,1663.43371582
2023-03-02,1647.31933594
2023-03-03,1569.16760254
2023-03-04,1566.92395020
2023-03-05,1564.46875000
2023-03-06,1567.39868164
2023-03-07,1561.93310547
2023-03-08,1534.08825684
2023-03-09,1438.66076660
2023-03-10,1429.15808105
2023-03-11,1482.61669922
2023-03-12,1590.29296875
2023-03-13,1680.30895996
2023-03-14,1703.50708008
2023-03-15,1656.18054199
2023-03-16,1677.21545410
2023-03-17,1792.48510742
2023-03-18,1761.65966797
2023-03-19,1785.57653809
2023-03-20,1735.32128906
2023-03-21,1806.76074219
2023-03-22,1737.71704102
2023-03-23,1816.40515137
2023-03-24,1752.04479980
2023-03-25,1743.76477051
2023-03-26,1775.67675781
2023-03-27,1715.46081543
2023-03-28,1772.78564453
2023-03-29,1793.00183105
2023-03-30,1792.73718262
2023-03-31,1822.02209473
2023-04-01,1813.86059570
2023-04-02,1795.70812988
2023-04-03,1810.29711914
2023-04-04,1871.00512695
2023-04-05,1909.11401367
2023-04-06,1872.92260742
2023-04-07,1865.63610840
2023-04-08,1849.49816895
2023-04-09,1859.38781738
2023-04-10,1911.20751953
2023-04-11,1892.18969727
2023-04-12,1920.68212891
2023-04-13,2012.63464355
2023-04-14,2101.63549805
2023-04-15,2092.46679688
2023-04-16,2120.00585938
2023-04-17,2076.24291992
2023-04-18,2104.53735352
2023-04-19,1936.40344238
2023-04-20,1943.09765625
2023-04-21,1849.99987793
2023-04-22,1874.22863770
2023-04-23,1862.06201172
2023-04-24,1842.75744629
2023-04-25,1866.75366211
2023-04-26,1866.56420898
2023-04-27,1908.78637695
2023-04-28,1892.51281738
2023-04-29,1908.91699219
2023-04-30,1876.92431641
2023-05-01,1831.95483398
2023-05-02,1870.78930664
2023-05-03,1904.65185547
2023-05-04,1877.70410156
2023-05-05,1995.06091309
2023-05-06,1900.22180176
2023-05-07,1873.07641602
2023-05-08,1849.04272461
2023-05-09,1848.60314941
2023-05-10,1842.40148926
2023-05-11,1796.49060059
2023-05-12,1808.01977539
2023-05-13,1796.11486816
2023-05-14,1800.50097656
2023-05-15,1817.54992676
2023-05-16,1824.12145996
2023-05-17,1821.85961914
2023-05-18,1801.72851562
2023-05-19,1812.58947754
2023-05-20,1820.47802734
2023-05-21,1804.53137207
2023-05-22,1817.53479004
2023-05-23,1854.38061523
2023-05-24,1800.09997559
2023-05-25,1805.95373535
2023-05-26,1828.68969727
2023-05-27,1831.11828613
2023-05-28,1910.91418457
2023-05-29,1893.07812500
2023-05-30,1901.02661133
2023-05-31,1874.13049316
2023-06-01,1862.20141602
2023-06-02,1907.25659180
2023-06-03,1892.41247559
2023-06-04,1890.51354980
2023-06-05,1811.82836914
2023-06-06,1884.49487305
2023-06-07,1832.39599609
2023-06-08,1846.30187988
2023-06-09,1840.22521973
2023-06-10,1752.38476562
2023-06-11,1753.41528320
2023-06-12,1742.52868652
2023-06-13,1739.03759766
2023-06-14,1650.51928711
2023-06-15,1665.51977539
2023-06-16,1716.66882324
2023-06-17,1727.20410156
2023-06-18,1720.57751465
2023-06-19,1737.65942383
2023-06-20,1792.11999512
2023-06-21,1891.00720215
2023-06-22,1872.94299316
2023-06-23,1892.86206055
2023-06-24,1876.05969238
2023-06-25,1900.50610352
2023-06-26,1859.43286133
2023-06-27,1889.70336914
2023-06-28,1827.97119141
2023-06-29,1852.22729492
2023-06-30,1933.18896484
2023-07-01,1924.56591797
2023-07-02,1937.43835449
2023-07-03,1955.38916016
2023-07-04,1936.63354492
2023-07-05,1910.58801270
2023-07-06,1848.63647461
2023-07-07,1870.60253906
2023-07-08,1865.53955078
2023-07-09,1863.00976562
2023-07-10,1880.55639648
2023-07-11,1878.33605957
2023-07-12,1872.11376953
2023-07-13,2006.51147461
2023-07-14,1939.34704590
2023-07-15,1931.46655273
2023-07-16,1923.68188477
2023-07-17,1911.64611816
2023-07-18,1897.59924316
2023-07-19,1889.00793457
2023-07-20,1890.96911621
2023-07-21,1892.08007812
2023-07-22,1864.91235352
2023-07-23,1889.19165039
2023-07-24,1850.00207520
2023-07-25,1857.74194336
2023-07-26,1872.15991211
2023-07-27,1860.35717773
2023-07-28,1874.74487305
2023-07-29,1881.06884766
2023-07-30,1861.64379883
2023-07-31,1856.16235352
2023-08-01,1871.79211426
2023-08-02,1839.08972168
2023-08-03,1835.13647461
2023-08-04,1827.71289062
2023-08-05,1834.98791504
2023-08-06,1827.46203613
2023-08-07,1826.93884277
2023-08-08,1855.80737305
2023-08-09,1854.29760742
2023-08-10,1850.75341797
2023-08-11,1847.12438965
2023-08-12,1848.88989258
2023-08-13,1839.28015137
2023-08-14,1844.18579102
2023-08-15,1826.93273926
2023-08-16,1805.65905762
2023-08-17,1684.93347168
2023-08-18,1660.94506836
2023-08-19,1669.47192383
2023-08-20,1684.85205078
2023-08-21,1667.26904297
2023-08-22,1633.89257812
2023-08-23,1679.27441406
2023-08-24,1659.94458008
2023-08-25,1652.93505859
2023-08-26,1646.30676270
2023-08-27,1657.51306152
2023-08-28,1652.45739746
2023-08-29,1729.72570801
2023-08-30,1705.11218262
2023-08-31,1645.63916016
2023-09-01,1628.49121094
2023-09-02,1637.02539062
2023-09-03,1636.11767578
2023-09-04,1629.65527344
2023-09-05,1633.62939453
2023-09-06,1632.25231934
